Name,Description,URL,Created At,Updated At,Homepage,Size,Stars,Forks,Issues,Watchers,Language,License,Topics,Has Issues,Has Projects,Has Downloads,Has Wiki,Has Pages,Has Discussions,Is Fork,Is Archived,Is Template,Default Branch
public-apis,A collective list of free APIs,https://github.com/public-apis/public-apis,2016-03-20T23:49:42Z,2025-12-20T14:39:23Z,https://APILayer.com/?utm_source=Github&utm_medium=Referral&utm_campaign=Public-apis-repo,4955,386860,41297,760,386860,Python,MIT,"['api', 'apis', 'dataset', 'development', 'free', 'list', 'lists', 'open-source', 'public', 'public-api', 'public-apis', 'resources', 'software']",True,False,True,False,False,False,False,False,False,master
free-programming-books,:books: Freely available programming books,https://github.com/EbookFoundation/free-programming-books,2013-10-11T06:50:37Z,2025-12-20T14:39:17Z,https://ebookfoundation.github.io/free-programming-books/,20865,379067,65634,200,379067,Python,CC-BY-4.0,"['books', 'education', 'hacktoberfest', 'list', 'resource']",True,False,True,False,True,False,False,False,False,main
system-design-primer,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.,https://github.com/donnemartin/system-design-primer,2017-02-26T16:15:28Z,2025-12-20T14:12:33Z,,11243,329766,53684,516,329766,Python,NOASSERTION,"['design', 'design-patterns', 'design-system', 'development', 'interview', 'interview-practice', 'interview-questions', 'programming', 'python', 'system', 'web', 'web-application', 'webapp']",True,True,True,True,False,False,False,False,False,master
awesome-python,"An opinionated list of awesome Python frameworks, libraries, software and resources.",https://github.com/vinta/awesome-python,2014-06-27T21:00:06Z,2025-12-20T14:53:19Z,https://awesome-python.com/,6856,274586,26925,529,274586,Python,NOASSERTION,"['awesome', 'collections', 'python', 'python-framework', 'python-library', 'python-resources']",False,False,True,False,True,False,False,False,False,master
Python,All Algorithms implemented in Python,https://github.com/TheAlgorithms/Python,2016-07-16T09:44:01Z,2025-12-20T14:14:06Z,https://thealgorithms.github.io/Python/,15638,214944,49642,805,214944,Python,MIT,"['algorithm', 'algorithm-competitions', 'algorithms-implemented', 'algos', 'community-driven', 'education', 'hacktoberfest', 'interview', 'learn', 'practice', 'python', 'searches', 'sorting-algorithms', 'sorts']",True,True,True,True,True,True,False,False,False,master
